Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatW,QuatX,QuatY,QuatZ
2876,00:00:19.079,IMU1,9.3,1.36,3.2,0.0,0.0,0.0,-18.31,12.81,-26.12,0.28,-0.51,0.28,0.76
2877,00:00:19.082,IMU7,1.78,3.45,-9.2,0.0,0.0,0.0,22.12,8.69,26.69,0.47,0.86,0.2,0.01
2877,00:00:19.082,IMU5,6.81,-0.44,7.1,0.0,0.0,0.0,5.5,-10.94,-36.25,0.31,-0.21,0.79,0.48
2877,00:00:19.082,IMU1,9.3,1.36,3.2,0.0,0.0,0.0,-18.31,12.81,-26.12,0.28,-0.51,0.28,0.76
2878,00:00:19.085,IMU7,1.78,3.45,-9.2,0.0,0.0,0.0,22.12,8.69,26.69,0.47,0.86,0.2,0.01
2878,00:00:19.085,IMU5,6.81,-0.44,7.1,0.0,0.0,0.0,5.5,-10.94,-36.25,0.31,-0.21,0.79,0.48
2878,00:00:19.085,IMU1,9.3,1.36,3.2,0.0,0.0,0.0,-17.5,14.19,-26.75,0.28,-0.51,0.28,0.76
1920,00:00:15.348,IMU2,1.34,-7.13,6.51,0.0,0.0,0.0,0.81,1.31,-37.56,0.03,-0.41,0.91,0.1
1920,00:00:15.348,IMU6,1.21,-0.77,9.74,0.0,0.0,0.0,-4.62,-21.44,-38.75,-0.06,0.04,-1.0,0.01
1920,00:00:15.348,IMU4,1.99,0.74,9.55,0.0,0.0,0.0,18.44,7.62,-34.69,0.09,-0.06,0.56,0.82
1920,00:00:15.348,IMU3,-6.42,1.07,-6.87,0.0,0.0,0.0,3.0,-5.94,37.44,-0.77,0.51,0.34,0.15
1921,00:00:15.352,IMU2,1.34,-7.13,6.51,0.0,0.0,0.0,0.81,1.31,-37.56,0.03,-0.41,0.91,0.1
1921,00:00:15.352,IMU6,1.21,-0.77,9.74,0.0,0.0,0.0,-4.62,-21.44,-38.75,-0.06,0.04,-1.0,0.01
1921,00:00:15.352,IMU4,1.99,0.74,9.55,0.0,0.0,0.0,18.44,7.62,-34.69,0.09,-0.06,0.56,0.82
1921,00:00:15.352,IMU3,-6.42,1.07,-6.87,0.0,0.0,0.0,3.0,-5.94,37.44,-0.77,0.51,0.34,0.15
2879,00:00:19.090,IMU7,1.78,3.45,-9.2,0.0,0.0,0.0,22.12,8.69,26.69,0.47,0.86,0.2,0.01
2879,00:00:19.090,IMU5,6.81,-0.44,7.1,0.0,0.0,-0.0,5.5,-10.94,-36.25,0.31,-0.21,0.79,0.48
2879,00:00:19.090,IMU1,9.3,1.36,3.2,0.0,0.0,0.0,-17.5,14.19,-26.75,0.28,-0.51,0.28,0.76
2880,00:00:19.099,IMU7,1.78,3.45,-9.2,0.0,0.0,0.0,22.12,8.69,26.69,0.47,0.86,0.2,0.01
2880,00:00:19.099,IMU5,6.81,-0.44,7.1,0.0,0.0,-0.0,5.5,-10.94,-36.25,0.31,-0.21,0.79,0.48
2880,00:00:19.099,IMU1,9.3,1.36,3.2,0.0,0.0,0.0,-17.5,14.19,-26.75,0.28,-0.51,0.28,0.76
2881,00:00:19.102,IMU7,1.78,3.49,-9.16,0.0,0.0,0.0,22.12,8.69,26.69,0.47,0.86,0.2,0.01
2881,00:00:19.102,IMU5,6.81,-0.44,7.06,0.0,0.0,-0.0,5.5,-10.94,-36.25,0.31,-0.21,0.79,0.48
2881,00:00:19.102,IMU1,9.3,1.36,3.2,0.0,0.0,0.0,-17.5,14.19,-26.75,0.28,-0.51,0.28,0.76
2882,00:00:19.106,IMU7,1.78,3.49,-9.16,0.0,0.0,0.0,22.12,8.69,26.69,0.47,0.86,0.2,0.01
2882,00:00:19.106,IMU5,6.81,-0.44,7.06,0.0,0.0,-0.0,6.31,-12.69,-35.31,0.31,-0.21,0.79,0.48
2882,00:00:19.106,IMU1,9.3,1.36,3.2,0.0,0.0,0.0,-17.5,14.19,-26.75,0.28,-0.51,0.28,0.76
2883,00:00:19.110,IMU7,1.78,3.49,-9.16,0.0,0.0,0.0,21.88,9.88,28.31,0.47,0.86,0.2,0.01
2883,00:00:19.110,IMU5,6.81,-0.44,7.06,-0.0,0.0,-0.0,6.31,-12.69,-35.31,0.31,-0.21,0.79,0.48
2883,00:00:19.110,IMU1,9.3,1.36,3.2,0.0,0.0,0.0,-17.5,14.19,-26.75,0.28,-0.51,0.28,0.76
2884,00:00:19.116,IMU7,1.78,3.49,-9.16,0.0,0.0,0.0,21.88,9.88,28.31,0.47,0.86,0.2,0.01
2884,00:00:19.116,IMU5,6.81,-0.44,7.06,-0.0,0.0,-0.0,6.31,-12.69,-35.31,0.31,-0.21,0.79,0.48
2884,00:00:19.116,IMU1,9.3,1.36,3.2,0.0,0.0,0.0,-17.5,14.19,-26.75,0.28,-0.51,0.28,0.76
1922,00:00:15.359,IMU2,1.34,-7.13,6.51,0.0,0.0,0.0,0.06,0.88,-36.75,0.03,-0.41,0.91,0.1
1922,00:00:15.359,IMU6,1.21,-0.77,9.74,0.0,0.0,0.0,-4.62,-21.44,-38.75,-0.06,0.04,-1.0,0.01
1922,00:00:15.359,IMU4,1.99,0.74,9.55,0.0,0.0,0.0,18.44,7.62,-34.69,0.09,-0.06,0.56,0.82
1922,00:00:15.359,IMU3,-6.42,1.07,-6.87,0.0,0.0,0.0,3.0,-5.94,37.44,-0.77,0.51,0.34,0.15
1923,00:00:15.362,IMU2,1.34,-7.13,6.51,0.0,0.0,0.0,0.06,0.88,-36.75,0.03,-0.41,0.91,0.1
1923,00:00:15.362,IMU6,1.21,-0.77,9.74,0.0,0.0,0.0,-4.62,-21.44,-38.75,-0.06,0.04,-1.0,0.01
1923,00:00:15.362,IMU4,1.99,0.74,9.55,0.0,0.0,0.0,18.44,7.62,-34.69,0.09,-0.06,0.56,0.82
1923,00:00:15.362,IMU3,-6.42,1.07,-6.87,0.0,0.0,0.0,3.0,-5.94,37.44,-0.77,0.51,0.34,0.15
1924,00:00:15.366,IMU2,1.34,-7.13,6.51,0.0,0.0,0.0,0.06,0.88,-36.75,0.03,-0.41,0.91,0.1
1924,00:00:15.366,IMU6,1.21,-0.77,9.74,0.0,0.0,0.0,-4.62,-21.44,-38.75,-0.06,0.04,-1.0,0.01
1924,00:00:15.366,IMU4,1.99,0.74,9.55,0.0,0.0,0.0,18.44,7.62,-34.69,0.09,-0.06,0.56,0.82
1924,00:00:15.366,IMU3,-6.42,1.11,-6.91,0.0,0.0,0.0,3.0,-5.94,37.44,-0.77,0.51,0.34,0.15
1925,00:00:15.371,IMU2,1.34,-7.13,6.51,0.0,0.0,0.0,0.06,0.88,-36.75,0.03,-0.41,0.91,0.1
1925,00:00:15.371,IMU6,1.21,-0.77,9.74,0.0,0.0,-0.01,-4.62,-21.44,-38.75,-0.06,0.04,-1.0,0.01
