Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW
37897,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.96,9.58,-14.0,-32.38,-13.62,0.02,0.05,-0.99,0.16
37898,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.46,-1.06,-6.62,-30.31,0.06,-0.07,0.94,0.34
37898,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.91,9.38,-17.81,-5.06,-23.69,-0.09,0.12,-0.89,0.43
37898,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.96,9.58,-14.0,-32.38,-13.62,0.02,0.05,-0.99,0.16
37899,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.46,-1.06,-6.62,-30.31,0.06,-0.07,0.94,0.34
37899,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.91,9.38,-17.81,-5.06,-23.69,-0.09,0.12,-0.89,0.43
37899,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.96,9.58,-14.0,-32.38,-13.62,0.02,0.05,-0.99,0.16
37900,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.46,-1.06,-6.62,-30.31,0.06,-0.07,0.94,0.34
37900,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-17.81,-5.06,-23.69,-0.09,0.12,-0.89,0.43
37900,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.96,9.58,-14.0,-32.38,-13.62,0.02,0.05,-0.99,0.16
37901,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.42,-1.06,-6.62,-30.31,0.06,-0.07,0.94,0.34
37901,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-18.19,-6.12,-28.38,-0.09,0.12,-0.89,0.43
37901,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.96,9.58,-14.0,-32.38,-13.62,0.02,0.05,-0.99,0.16
37902,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.42,-2.19,-6.62,-29.12,0.06,-0.07,0.94,0.34
37902,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-18.19,-6.12,-28.38,-0.09,0.12,-0.89,0.43
37902,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.96,9.61,-14.0,-32.38,-13.62,0.02,0.05,-0.99,0.16
37903,00:02:44,IMU1,0.0,0.0,0.01,1.46,-0.88,9.42,-2.19,-6.62,-29.12,0.06,-0.07,0.94,0.34
37903,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-18.19,-6.12,-28.38,-0.09,0.12,-0.89,0.43
37903,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.96,9.61,-14.0,-32.38,-13.62,0.02,0.05,-0.99,0.16
