Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW,DeviceName
4312,00:00:20,IMU4,0.00,0.00,0.00,3.33,0.29,9.06,17.50,2.19,-36.75,0.12,-0.13,0.62,0.76,Left_Leg
4312,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.63,8.08,12.31,6.50,-29.00,-0.13,-0.27,0.88,0.37,Left_Leg
4312,00:00:20,IMU6,-0.00,0.00,-0.00,0.65,-0.34,9.54,10.44,14.19,-19.19,-0.00,-0.04,0.41,0.91,Left_Leg
4313,00:00:20,IMU4,0.00,0.00,0.00,3.26,0.32,9.05,17.50,2.19,-36.75,0.12,-0.13,0.62,0.76,Left_Leg
4313,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.63,8.08,12.31,6.50,-29.00,-0.13,-0.27,0.88,0.37,Left_Leg
4313,00:00:20,IMU6,-0.00,0.00,-0.00,0.65,-0.34,9.54,12.31,15.69,-21.56,-0.00,-0.04,0.41,0.91,Left_Leg
4314,00:00:20,IMU4,0.00,0.00,0.00,3.26,0.32,9.05,17.50,2.19,-36.75,0.12,-0.13,0.62,0.76,Left_Leg
4314,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.63,8.08,12.31,6.50,-29.00,-0.13,-0.27,0.88,0.37,Left_Leg
4314,00:00:20,IMU6,-0.00,0.00,-0.00,0.65,-0.34,9.54,12.31,15.69,-21.56,-0.00,-0.04,0.41,0.91,Left_Leg
4315,00:00:20,IMU4,0.00,0.00,0.00,3.26,0.32,9.05,17.88,4.81,-33.56,0.12,-0.13,0.62,0.76,Left_Leg
4315,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.63,8.08,12.31,6.50,-29.00,-0.13,-0.27,0.88,0.37,Left_Leg
4315,00:00:20,IMU6,-0.00,0.00,0.00,0.65,-0.34,9.54,12.31,15.69,-21.56,-0.00,-0.04,0.41,0.91,Left_Leg
4316,00:00:20,IMU4,0.00,0.00,0.00,3.26,0.32,9.05,17.88,4.81,-33.56,0.12,-0.13,0.62,0.76,Left_Leg
4316,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.04,12.31,6.50,-29.00,-0.13,-0.27,0.88,0.37,Left_Leg
4316,00:00:20,IMU6,-0.00,0.00,0.00,0.65,-0.34,9.54,12.31,15.69,-21.56,-0.00,-0.04,0.41,0.91,Left_Leg
4317,00:00:20,IMU4,0.00,0.00,0.00,3.26,0.32,9.05,17.88,4.81,-33.56,0.12,-0.13,0.62,0.76,Left_Leg
4317,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.04,12.31,6.50,-29.00,-0.13,-0.27,0.88,0.37,Left_Leg
4317,00:00:20,IMU6,-0.00,0.00,0.00,0.65,-0.34,9.54,12.31,15.69,-21.56,-0.00,-0.04,0.41,0.91,Left_Leg
